spec_int1995_id,processor_id,hw_avail,test_sponsor,hw_model,basemean,peakmean,099_go,124_m88ksim,126_gcc,129_compress,130_li,132_ijpeg,134_perl,147_vortex,link
1,10,2000-03-01,AMD,ASUS K7V-RM mainboard; 1.0 GHz Athlon processor,42.9,42.9,44.2,58.3,39.6,26.6,56.1,37.2,55.3,36.4,http://www.spec.org/cpu95/results/res2000q2/cpu95-20000331-04207.html
2,9,2000-03-01,AMD,ASUS K7V-RM mainboard; 900MHz Athlon processor,37.8,37.8,40.5,45.5,37.5,24.9,44.5,32.5,52.0,32.3,http://www.spec.org/cpu95/results/res2000q2/cpu95-20000328-04179.html
3,10,2000-03-01,AMD,GigaByte GA-7IX mainboard; 1.0GHz Athlon processor,42.0,42.0,44.8,50.4,40.9,27.6,49.3,35.6,57.8,37.3,http://www.spec.org/cpu95/results/res2000q1/cpu95-20000313-04138.html
4,6,1999-12-01,AMD,GigaByte GA-7IX mainboard; 750MHz Athlon processor,32.9,32.9,34.3,37.8,32.5,23.1,37.9,27.6,43.5,31.0,http://www.spec.org/cpu95/results/res99q4/cpu95-19991206-03938.html
5,7,2000-01-01,AMD,GigaByte GA-7IX mainboard; 800MHz Athlon processor,34.9,34.9,36.3,40.3,34.4,24.8,40.5,29.3,45.5,32.7,http://www.spec.org/cpu95/results/res2000q1/cpu95-20000229-04083.html
6,8,2000-02-01,AMD,GigaByte GA-7IX mainboard; 850MHz Athlon processor,36.9,36.9,37.8,42.8,36.5,26.1,42.9,30.7,49.0,34.7,http://www.spec.org/cpu95/results/res2000q1/cpu95-20000229-04084.html
7,3,1999-08-01,AMD,Microstar MS-6167 mainboard; 550MHz Athlon processor,25.0,0.0,25.7,27.7,24.7,19.4,28.8,20.7,31.8,23.9,http://www.spec.org/cpu95/results/res99q3/cpu95-19990711-03744.html
8,4,1999-08-01,AMD,Microstar MS-6167 mainboard; 600MHz Athlon processor,27.2,0.0,27.9,30.0,26.6,21.0,31.5,22.4,35.0,25.6,http://www.spec.org/cpu95/results/res99q3/cpu95-19990711-03746.html
9,5,1999-08-01,AMD,Microstar MS-6167 mainboard; 650MHz Athlon processor,29.3,29.3,30.2,32.8,28.7,22.4,34.1,24.1,37.8,27.4,http://www.spec.org/cpu95/results/res99q3/cpu95-19990914-03866.html
10,191,2000-10-01,Tom Morris,API UP2000 750 MHz,37.0,42.7,36.7,48.5,29.8,29.5,36.6,44.7,33.0,41.3,http://www.spec.org/cpu95/results/res2000q3/cpu95-20000630-04279.html
11,192,2000-10-01,Tom Morris,API UP2000 833 MHz,43.7,49.4,42.4,54.1,35.5,38.0,43.8,50.6,39.3,49.3,http://www.spec.org/cpu95/results/res2000q3/cpu95-20000630-04281.html
12,188,1999-07-01,Alpha Processor; Inc.,UP2000 667 MHz 4MB Windows NT,32.0,32.0,33.5,28.8,32.6,26.3,33.0,37.2,33.1,32.5,http://www.spec.org/cpu95/results/res99q3/cpu95-19990621-03709.html
13,341,1999-10-01,BULL Echirolles France,EPC2400,19.0,20.9,29.3,16.9,19.9,19.8,17.2,13.1,18.8,20.3,http://www.spec.org/cpu95/results/res99q4/cpu95-19991022-03873.html
14,340,2000-03-01,BULL Echirolles France,EPC450,16.7,18.3,25.8,15.0,17.5,17.2,15.2,11.5,16.7,17.8,http://www.spec.org/cpu95/results/res2000q1/cpu95-20000211-04054.html
15,326,1997-05-01,BULL Echirolles France,Escala D204e,7.41,8.44,8.81,7.19,6.74,6.58,6.19,8.61,8.69,6.96,http://www.spec.org/cpu95/results/res97q3/cpu95-970623-01953.html
16,331,1997-10-01,BULL Echirolles France,Escala D204e (320MHz),10.8,12.5,13.6,11.3,9.35,8.6,8.8,12.5,13.5,9.93,http://www.spec.org/cpu95/results/res97q4/cpu95-970924-02146.html
17,322,1996-04-01,BULL Echirolles France,Escala M104,3.76,4.18,4.97,3.36,3.77,3.83,3.34,4.98,2.89,3.41,http://www.spec.org/cpu95/results/res96q1/cpu95-960202-00136.html
18,327,1997-06-01,BULL Echirolles France,Escala Series T,8.62,10.1,10.2,8.15,7.93,7.83,7.23,10.2,9.95,8.08,http://www.spec.org/cpu95/results/res97q3/cpu95-970721-02001.html
19,327,1997-06-01,BULL Echirolles France,Escala Series T,7.79,9.27,8.98,8.13,6.89,6.58,6.75,9.59,9.07,6.97,http://www.spec.org/cpu95/results/res97q3/cpu95-970716-01981.html
20,334,1997-11-01,BULL Echirolles France,Escala Series T (360MHz),12.1,14.2,15.1,12.7,10.5,9.67,9.5,14.4,15.3,11.2,http://www.spec.org/cpu95/results/res97q4/cpu95-971106-02236.html
21,338,1999-09-01,BULL Echirolles France,Escala T430; EPC430 & E230,10.5,11.7,15.7,9.61,10.8,11.1,10.2,7.57,9.2,11.2,http://www.spec.org/cpu95/results/res99q3/cpu95-19990830-03803.html
22,330,1997-11-01,BULL Echirolles France,Estrella 350,10.1,12.0,12.4,10.7,8.7,7.43,8.42,12.3,12.8,9.53,http://www.spec.org/cpu95/results/res97q4/cpu95-971110-02240.html
23,321,1995-11-01,BULL Echirolles France,Estrella MT604-100,3.29,3.59,4.15,3.27,3.3,3.1,2.79,4.5,2.62,3.04,http://www.spec.org/cpu95/results/res96q1/cpu95-960205-00001.html
24,324,1995-11-01,BULL Echirolles France,Estrella MT604-133,4.09,4.51,5.01,4.32,3.94,3.68,3.5,5.79,3.27,3.76,http://www.spec.org/cpu95/results/res96q1/cpu95-960219-00464.html
25,324,1995-11-01,Motorola; Urbana,Estrella MT604-133,4.1,0.0,5.07,4.39,3.74,3.8,3.68,5.59,3.36,3.67,http://www.spec.org/cpu95/results/res96q1/cpu95-960205-00002.html
26,325,1997-02-01,BULL Echirolles France,Estrella Series 300,6.37,7.36,7.61,6.01,6.0,5.27,5.5,7.66,7.39,6.02,http://www.spec.org/cpu95/results/res97q2/cpu95-970428-01831.html
27,326,1997-02-01,BULL Echirolles France,Estrella Series 300,7.6,8.76,9.45,7.23,6.99,6.28,6.42,9.02,8.84,7.27,http://www.spec.org/cpu95/results/res97q2/cpu95-970428-01832.html
28,340,2000-03-01,BULL Echirolles France,T450,16.7,18.3,25.8,15.0,17.5,17.2,15.2,11.5,16.7,17.8,http://www.spec.org/cpu95/results/res2000q1/cpu95-20000211-04053.html
29,572,1999-12-01,Compaq MA,Professional Workstation SP750 (733 MHz),35.5,35.9,36.7,38.5,33.2,23.0,44.5,32.2,39.0,41.8,http://www.spec.org/cpu95/results/res99q4/cpu95-19991025-03884.html
30,187,2000-10-01,Compaq NH,AlphaServer DS10 6/600,30.9,35.3,31.0,40.4,23.7,25.0,31.7,35.6,29.5,33.2,http://www.spec.org/cpu95/results/res2000q3/cpu95-20000630-04259.html
31,188,2000-03-01,Compaq NH,AlphaServer DS20E Model 6/667,35.7,40.1,34.0,43.6,29.3,30.7,35.0,41.4,33.9,40.5,http://www.spec.org/cpu95/results/res2000q1/cpu95-20000313-04092.html
32,184,1999-04-01,Compaq NH,AlphaServer ES40,23.5,27.3,24.7,20.6,21.4,19.9,20.8,27.9,27.0,26.9,http://www.spec.org/cpu95/results/res99q2/cpu95-19990412-03530.html
33,193,2001-01-01,Compaq NH,AlphaServer ES40 6/833,44.6,50.0,42.6,54.5,37.1,37.5,44.5,51.8,42.1,49.8,http://www.spec.org/cpu95/results/res2000q3/cpu95-20000630-04265.html
34,188,2000-02-01,Compaq NH,AlphaServer ES40 Model 6/667,35.6,40.0,34.0,43.3,29.4,30.2,35.2,41.4,34.0,39.3,http://www.spec.org/cpu95/results/res2000q1/cpu95-20000214-04061.html
35,189,1999-10-01,Compaq NH,AlphaServer GS140 Model 6/700,34.7,39.1,33.7,43.4,25.9,27.9,35.4,41.9,33.7,39.7,http://www.spec.org/cpu95/results/res99q3/cpu95-19990830-03821.html
36,190,2000-06-01,Compaq NH,AlphaServer GS160 6/731,36.8,39.5,36.3,47.2,27.8,30.4,37.6,39.2,41.2,38.4,http://www.spec.org/cpu95/results/res2000q2/cpu95-20000511-04243.html
37,190,2000-06-01,Compaq NH,AlphaServer GS320 6/731,36.8,39.5,36.3,47.2,27.8,30.4,37.6,39.2,41.2,38.4,http://www.spec.org/cpu95/results/res2000q3/cpu95-20000629-04255.html
38,189,1999-10-01,Compaq NH,AlphaServer GS60E Model 6/700,34.7,39.1,33.7,43.4,25.9,27.9,35.4,41.9,33.7,39.7,http://www.spec.org/cpu95/results/res99q3/cpu95-19990913-03850.html
39,184,1998-12-01,Digital NH,Compaq AlphaServer DS20,23.6,27.7,25.0,20.6,21.4,20.1,21.1,28.2,27.2,27.2,http://www.spec.org/cpu95/results/res99q1/cpu95-981221-03231.html
40,185,1998-11-01,Digital NH,Compaq AlphaServer GS140 6/525,24.1,27.9,26.2,21.2,21.3,19.9,21.8,28.4,28.5,27.3,http://www.spec.org/cpu95/results/res98q3/cpu95-980914-03070.html
41,185,1998-11-01,Digital NH,Compaq AlphaServer GS60 6/525,24.1,27.8,26.2,21.5,21.2,19.8,21.9,28.1,28.6,27.0,http://www.spec.org/cpu95/results/res98q3/cpu95-980914-03048.html
42,552,1997-12-01,Compaq,Compaq Professional Workstation 6000,12.1,12.1,11.6,11.8,11.7,10.0,12.5,11.8,13.6,14.2,http://www.spec.org/cpu95/results/res97q4/cpu95-971209-02299.html
43,184,1999-02-01,Digital NH,Compaq Professional Workstation XP1000,23.2,26.9,24.9,20.7,21.1,18.8,20.6,28.1,27.0,26.6,http://www.spec.org/cpu95/results/res99q1/cpu95-19990201-03391.html
44,186,1998-11-01,Digital NH,Digital AlphaServer 8200 6/575,25.9,30.1,28.8,23.0,23.0,21.0,22.3,30.5,31.4,29.6,http://www.spec.org/cpu95/results/res98q3/cpu95-980720-03001.html
45,186,1998-11-01,Digital NH,Digital AlphaServer 8400 6/575,26.0,30.3,28.8,23.4,22.7,21.3,22.2,30.8,31.3,29.8,http://www.spec.org/cpu95/results/res98q3/cpu95-980720-03000.html
46,188,1999-08-01,Compaq NH,Professional Workstation XP1000,33.2,37.5,32.4,42.1,25.5,26.8,34.2,38.6,31.7,37.3,http://www.spec.org/cpu95/results/res99q3/cpu95-19990719-03748.html
47,183,1999-05-01,Compaq NH,AlphaServer DS10,21.5,24.6,23.1,19.2,19.1,18.1,19.5,25.5,25.0,24.3,http://www.spec.org/cpu95/results/res99q2/cpu95-19990524-03672.html
48,183,1999-08-01,Compaq NH,Professional Workstation XP900,21.5,24.6,23.1,19.2,19.1,18.1,19.5,25.5,25.0,24.3,http://www.spec.org/cpu95/results/res99q3/cpu95-19990719-03752.html
49,500,1995-06-01,Intel,Dell Dimension XPS (100MHz),3.2,3.2,3.5,3.23,3.29,2.79,3.58,2.31,3.9,3.27,http://www.spec.org/cpu95/results/res9512/p017.html
50,500,1995-06-01,Intel,Dell Dimension XPS (100MHz),3.16,3.16,3.42,3.16,3.16,2.86,3.51,2.31,3.7,3.36,http://www.spec.org/cpu95/results/res96q2/cpu95-960610-00899.html
51,501,1995-06-01,Intel,Dell Dimension XPS (120MHz),3.55,3.55,3.65,3.76,3.56,3.03,4.08,2.67,4.44,3.57,http://www.spec.org/cpu95/results/res9512/p018.html
52,501,1995-06-01,Intel,Dell Dimension XPS (120MHz),3.53,3.53,3.6,3.7,3.42,3.22,4.0,2.67,4.18,3.72,http://www.spec.org/cpu95/results/res96q2/cpu95-960610-00922.html
53,502,1995-06-01,Intel,Dell Dimension XPS (133MHz),3.96,3.96,4.05,4.19,3.95,3.43,4.54,2.97,4.92,3.96,http://www.spec.org/cpu95/results/res9512/p019.html
54,502,1995-06-01,Intel,Dell Dimension XPS (133MHz),3.9,3.9,4.02,4.1,3.78,3.45,4.42,2.96,4.62,4.08,http://www.spec.org/cpu95/results/res96q2/cpu95-960610-00905.html
55,503,1996-01-01,Intel,Dell Dimension XPS (150MHz),4.05,4.05,3.84,4.55,3.97,3.42,4.81,3.17,5.14,3.92,http://www.spec.org/cpu95/results/res96q2/cpu95-960610-00924.html
56,504,1996-01-01,Intel,Dell Dimension XPS (166MHz),4.52,4.52,4.47,5.04,4.37,3.81,5.3,3.52,5.76,4.37,http://www.spec.org/cpu95/results/res96q2/cpu95-960610-00926.html
57,505,1996-06-01,Intel,Dell Dimension XPS (200MHz),5.0,5.0,4.66,5.9,4.82,4.0,5.94,4.04,6.48,4.73,http://www.spec.org/cpu95/results/res96q2/cpu95-960610-00907.html
58,509,1995-06-01,Intel,Dell Dimension XPS (75MHz),2.39,2.39,2.59,2.4,2.45,2.09,2.69,1.72,2.91,2.46,http://www.spec.org/cpu95/results/res96q2/cpu95-960610-00919.html
59,510,1995-06-01,Intel,Dell Dimension XPS (90MHz),2.88,2.88,3.12,2.9,2.96,2.5,3.26,2.08,3.51,2.94,http://www.spec.org/cpu95/results/res96q2/cpu95-960610-00923.html
60,502,1997-01-01,Intel,Dell Dimension XPS (Model 's'; 133MHz),4.0,4.0,4.13,4.19,3.98,3.51,4.61,2.97,4.91,4.01,http://www.spec.org/cpu95/results/res97q1/cpu95-970120-01599.html
61,503,1997-01-01,Intel,Dell Dimension XPS (Model 's'; 150MHz),4.1,4.1,4.01,4.54,3.99,3.47,4.84,3.18,5.14,4.0,http://www.spec.org/cpu95/results/res97q1/cpu95-970120-01597.html
62,504,1997-01-01,Intel,Dell Dimension XPS (Model 's'; 166MHz),4.56,4.56,4.43,5.05,4.41,3.89,5.39,3.54,5.75,4.45,http://www.spec.org/cpu95/results/res97q1/cpu95-970120-01607.html
63,504,1997-01-01,Intel,Dell Dimension XPS (Model 's'; 166MHz; Intel MMX technology),5.59,5.59,6.5,6.05,5.78,3.99,6.27,3.57,7.77,6.03,http://www.spec.org/cpu95/results/res97q1/cpu95-970120-01605.html
64,505,1997-01-01,Intel,Dell Dimension XPS (Model 's'; 200MHz),5.1,5.1,4.85,5.89,4.84,4.11,6.19,4.06,6.57,4.88,http://www.spec.org/cpu95/results/res97q1/cpu95-970120-01602.html
65,505,1997-01-01,Intel,Dell Dimension XPS (Model 's'; 200MHz; Intel MMX technology),6.41,6.41,7.19,7.24,6.47,4.55,7.18,4.16,9.17,6.79,http://www.spec.org/cpu95/results/res97q1/cpu95-970120-01603.html
66,587,1996-06-01,Intel,Dell Dimension XPS Pro180n (150MHz),6.25,6.25,6.26,5.83,6.05,4.99,6.56,6.32,6.84,7.43,http://www.spec.org/cpu95/results/res96q2/cpu95-960610-00942.html
67,589,1996-06-01,Intel,Dell Dimension XPS Pro180n (180MHz),7.28,7.28,7.27,7.0,7.16,5.12,7.88,7.5,8.2,8.71,http://www.spec.org/cpu95/results/res96q2/cpu95-960610-00946.html
68,552,1998-08-01,Intel,Dell Dimension XPS Pro180n (300MHz),12.2,12.2,12.3,11.8,11.7,9.95,12.9,11.9,13.9,13.9,http://www.spec.org/cpu95/results/res98q3/cpu95-980817-03015.html
69,590,1996-06-01,Intel,Dell Dimension XPS Pro200n,8.2,8.2,8.3,7.77,7.95,6.22,8.7,8.37,9.11,9.66,http://www.spec.org/cpu95/results/res96q2/cpu95-960610-00950.html
70,590,1995-12-01,Intel Corporation,Dell Dimension XPS Pro200n (200MHz; Win/NT),8.08,8.08,8.06,7.76,7.92,6.24,8.52,8.13,8.72,9.76,http://www.spec.org/cpu95/results/res98q1/cpu95-980302-02540.html
71,553,1998-08-01,Intel,Dell Dimension XPS Pro200n (333MHz),13.5,13.5,13.7,13.1,13.1,10.4,14.5,13.3,15.4,15.5,http://www.spec.org/cpu95/results/res98q3/cpu95-980817-03016.html
72,554,1998-04-01,Dell,Dell Precision WorkStation 410,13.4,13.4,12.5,13.8,13.0,10.4,13.8,13.8,15.6,15.3,http://www.spec.org/cpu95/results/res98q2/cpu95-980411-02592.html
73,555,1998-04-01,Dell,Dell Precision WorkStation 410,15.3,15.3,14.6,15.7,14.8,11.8,15.8,15.5,17.8,17.3,http://www.spec.org/cpu95/results/res98q2/cpu95-980411-02593.html
74,556,1998-08-01,Dell,Precision WorkStation 410 (450MHz),17.5,17.5,16.2,17.9,16.5,14.8,18.6,17.3,20.3,19.4,http://www.spec.org/cpu95/results/res98q3/cpu95-980831-03018.html
75,569,1999-12-01,Arrian Mehis,Precision WorkStation 410 (650 MHz),31.2,31.6,32.1,33.2,29.1,20.6,38.8,27.9,34.5,37.1,http://www.spec.org/cpu95/results/res99q4/cpu95-19991108-03916.html
76,571,1999-12-01,Arrian Mehis,Precision WorkStation 410 (700 MHz),33.3,33.8,34.4,35.5,31.1,21.6,41.7,29.9,37.1,39.5,http://www.spec.org/cpu95/results/res99q4/cpu95-19991108-03911.html
77,573,1999-12-01,Dell Computer Corporation,Precision WorkStation 410 (750 MHz),35.5,36.0,37.1,38.5,32.5,22.7,45.0,31.9,39.9,41.9,http://www.spec.org/cpu95/results/res2000q1/cpu95-20000117-04005.html
78,574,2000-01-01,Dell; Round Rock; TX,Precision WorkStation 420,38.8,38.9,39.7,43.8,35.8,24.2,48.5,34.8,44.6,44.9,http://www.spec.org/cpu95/results/res2000q2/cpu95-20000327-04154.html
79,576,2000-03-01,Dell; Round Rock; TX,Precision WorkStation 420,41.5,41.7,43.2,46.9,38.4,25.3,52.6,37.3,48.3,47.6,http://www.spec.org/cpu95/results/res2000q2/cpu95-20000327-04157.html
80,568,1999-12-01,Arrian Mehis,Precision WorkStation 420 (600 MHz),29.7,30.0,30.0,31.6,27.7,20.4,36.6,26.8,32.1,35.7,http://www.spec.org/cpu95/results/res99q4/cpu95-19991108-03913.html
81,572,1999-12-01,Arrian Mehis,Precision WorkStation 420 (733 MHz),35.2,35.7,36.4,37.6,33.0,22.9,43.9,31.7,39.0,41.7,http://www.spec.org/cpu95/results/res99q4/cpu95-19991108-03912.html
82,574,2000-01-01,Dell Computer Corporation,Precision WorkStation 420 (800 MHz),38.2,38.7,39.8,41.0,36.1,24.3,48.0,34.7,42.6,44.7,http://www.spec.org/cpu95/results/res2000q1/cpu95-20000117-04004.html
83,556,1998-10-01,Dell,Precision WorkStation 610 (450MHz),18.8,18.8,18.7,17.9,18.0,16.9,19.8,17.7,20.7,21.6,http://www.spec.org/cpu95/results/res98q4/cpu95-981012-03110.html
84,565,1999-03-01,Dell,Precision Workstation 410 (450MHz),18.5,18.5,18.9,19.0,16.8,13.8,21.8,17.8,20.7,21.0,http://www.spec.org/cpu95/results/res99q2/cpu95-19990329-03474.html
85,566,1999-03-01,Dell,Precision Workstation 410 (500MHz),20.5,20.5,20.9,21.0,18.6,15.1,24.2,19.5,23.1,23.0,http://www.spec.org/cpu95/results/res99q2/cpu95-19990329-03486.html
86,567,1999-08-01,Dell,Precision Workstation 410 (550MHz),22.6,22.6,22.6,24.9,19.7,18.3,26.0,21.2,24.8,24.6,http://www.spec.org/cpu95/results/res99q3/cpu95-19990830-03826.html
87,568,1999-08-01,Dell,Precision Workstation 410 (600MHz),24.6,24.6,24.6,27.2,21.4,19.9,28.2,23.0,27.1,26.5,http://www.spec.org/cpu95/results/res99q3/cpu95-19990830-03830.html
88,555,1998-06-01,Dell,Precision Workstation 610,16.3,16.3,16.4,15.8,16.0,13.6,16.6,15.9,18.0,19.2,http://www.spec.org/cpu95/results/res98q3/cpu95-980706-02853.html
89,555,1998-06-01,Dell,Precision Workstation 610,16.6,16.6,16.4,15.8,16.2,14.3,16.6,15.9,18.2,19.8,http://www.spec.org/cpu95/results/res98q3/cpu95-980706-02859.html
90,556,1999-01-01,Dell,Precision Workstation 610 (450MHz),19.0,19.0,18.7,17.9,18.3,17.1,19.7,17.7,20.7,22.2,http://www.spec.org/cpu95/results/res99q1/cpu95-19990104-03256.html
91,566,1999-03-01,Dell,Precision Workstation 610 (500MHz),22.0,22.0,22.5,21.3,20.3,18.0,25.4,20.1,23.8,26.3,http://www.spec.org/cpu95/results/res99q2/cpu95-19990329-03488.html
92,566,1999-03-01,Dell,Precision Workstation 610 (500MHz),21.6,21.6,22.4,21.3,19.9,16.5,25.4,20.0,23.8,25.2,http://www.spec.org/cpu95/results/res99q2/cpu95-19990329-03490.html
93,567,1999-08-01,Dell,Precision Workstation 610 (550MHz),24.4,24.4,24.6,25.2,21.9,20.8,27.7,21.7,25.7,28.5,http://www.spec.org/cpu95/results/res99q3/cpu95-19990830-03822.html
94,567,1999-04-01,Dell,Precision Workstation 610 (550MHz),24.2,24.2,24.6,25.2,21.6,20.6,27.7,21.8,25.8,27.4,http://www.spec.org/cpu95/results/res99q2/cpu95-19990426-03548.html
95,177,1997-11-01,Digital NH,Alpha PC164SX,12.2,12.4,11.2,16.0,13.1,11.5,9.46,15.5,11.6,10.6,http://www.spec.org/cpu95/results/res97q4/cpu95-971110-02242.html
96,157,1996-03-01,Digital NH,AlphaServer 1000A 4/266,3.96,4.34,5.83,3.76,3.64,3.97,3.29,4.19,4.11,3.34,http://www.spec.org/cpu95/results/res96q1/cpu95-960205-00293.html
97,157,1996-03-01,Digital NH,AlphaServer 1000A 4/266,3.96,4.34,5.83,3.76,3.64,3.97,3.29,4.19,4.11,3.34,http://www.spec.org/cpu95/results/res96q1/cpu95-960205-00439.html
98,166,1996-07-01,Digital NH,AlphaServer 1000A 5/300,7.07,8.48,9.25,7.18,6.07,6.21,6.75,6.73,7.66,7.13,http://www.spec.org/cpu95/results/res96q3/cpu95-960722-01086.html
99,167,1996-11-01,Digital NH,AlphaServer 1000A 5/333,8.41,10.1,10.5,8.71,6.75,7.96,7.5,10.1,8.17,8.23,http://www.spec.org/cpu95/results/res96q4/cpu95-961110-01473.html
100,171,1996-11-01,Digital NH,AlphaServer 1000A 5/400,9.61,11.5,11.8,10.3,7.45,8.8,8.65,12.1,9.3,9.38,http://www.spec.org/cpu95/results/res96q4/cpu95-961110-01469.html
101,176,1997-04-01,Digital NH,AlphaServer 1000A 5/500,11.6,14.4,10.5,12.9,9.91,11.0,10.5,15.7,10.9,12.1,http://www.spec.org/cpu95/results/res97q2/cpu95-970331-01723.html
102,177,1997-10-01,Digital NH,AlphaServer 1200 5/533,15.1,16.6,17.7,15.6,13.3,12.8,12.5,16.5,18.5,15.2,http://www.spec.org/cpu95/results/res97q4/cpu95-971027-02207.html
103,170,1996-10-01,Digital NH,AlphaServer 2000 5/375,9.82,11.5,12.2,9.45,8.0,9.47,8.02,11.8,11.0,9.56,http://www.spec.org/cpu95/results/res96q4/cpu95-961014-01337.html
